no,name,tel,地址,type,remark,reservation,own_expense,division,notice,twd97x,twd97y,wgs84ax,wgs84ay
3.53E+09,林岳宏小兒科陳德馨皮膚科聯合診所,8684-0088,新北市樹林區中華路241號,診所,如要接種，請先致電詢問疫苗庫存,現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察643分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292251.89,2763710.02,121.418516,24.980745
3.53E+09,信和耳鼻喉科診所,2682-2100,新北市樹林區博愛街178號,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,耳鼻喉科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察644分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292973.78,2764805.17,121.4257,24.990611
3.53E+09,信和診所,2682-2100,新北市樹林區博愛街178號,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,一般科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察645分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292973.78,2764805.17,121.4257,24.990611
3.53E+09,柚子小兒科診所,2680-3203,新北市樹林區學府路362號1樓,診所,如要接種，請先致電詢問疫苗庫存,現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察646分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,288340.69,2760324.15,121.379682,24.95028
3.53E+09,柯盈賢小兒科診所,2686-9185,新北市樹林區保安里樹新路41號,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察647分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,293111.1,2765264.16,121.427075,24.994751
3.53E+09,莊豐如診所,2683-0108,新北市樹林區復興路18號,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察648分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292658.15,2765254.29,121.422588,24.994675
3.53E+09,惠生保安婦幼診所,8687-5678,新北市樹林區保安街一段190號,診所,如要接種，請先致電詢問疫苗庫存,網路、電話、現場,是,婦產科.小兒科.產後護理之家,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察649分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292578.21,2765378.02,121.4218,24.995794
3.53E+09,揚昇診所,8686-9771,新北市樹林區太元街21號1樓,診所,如要接種，請先致電詢問疫苗庫存,現場,否,復健科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察650分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292219.61,2763644.4,121.418194,24.980153
3.53E+09,遠祺婦產科診所,8686-5966,新北市樹林區中華路112號,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,婦產科.小兒科.產後護理之家,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察651分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292230.36,2763722.47,121.418303,24.980858
3.53E+09,樹林泰新診所,2687-4410,新北市樹林區中山路一段30號,診所,如要接種，請先致電詢問疫苗庫存,現場,否,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察652分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292792.6,2765016.64,121.423912,24.992526
