seqno,區域,hosp_name,地址,緯度,經度,type,time,vaccine
88,永和區,洪源裕小兒科診所,新北市永和區竹林路181號1、2樓,25.0096899,121.5207021,合約診所,"週一至週六早上8:00-12:00、下午14:00-18:00、19:00-22:00
週日上午08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
89,永和區,呂適存小兒科診所,新北市永和區竹林路51號1樓,25.0140095,121.5181064,合約診所,週一至週五上午9:00-12:00、下午14:30-17:30、晚上18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
90,永和區,謝璧光小兒科診所,新北市永和區竹林路81號1樓,25.0124514,121.5196833,合約診所,"週一至週五上午9:00-11:30、下午17:00-19:30
週六早上9:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
91,永和區,惠恩診所,新北市永和區保安路212－1號1樓,25.0139188,121.5075343,合約診所,"週一至週六早上8:30-12:00、下午15:00-18:00、晚上18:30-21:30
(週日休假)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
92,永和區,蕭正貴小兒家庭醫學科診所,新北市永和區得和路198號,24.9999403,121.520199,合約診所,"上午9:00-12:00、下午18:00-21:00
週三及週五晚上休診",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
93,永和區,王杰凱小兒科診所,新北市永和區得和路275號1樓及永元路4號1樓,24.999883,121.5223337,合約診所,"週一至週六上午8:30-12:00、下午15:00-18:00、晚上18:30-21:30
◎卡介苗為每個月第1及第3週的週三下午13:00-14:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗
94,永和區,曾怡仁診所,新北市永和區得和路340號,24.9994518,121.5235396,合約診所,"週一至週六上午9:00-12:00、下午16:00-21:00(除週六下午15:00-18:00)
週三上午、週六晚上休診及週天全天休診",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
95,永和區,章志平小兒科診所,新北市永和區福和路195號,25.0074584,121.5197642,合約診所,週一至週六上午8:30-12:30、下午17:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
96,永和區,愛兒小兒科診所,新北市永和區福和路199號,25.0074484,121.5195512,合約診所,週一至週六上午9:00-12:00、下午14:00-18:00、晚上19:00-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
97,永和區,蕭佩宏小兒科診所,新北市永和區福和路258號,25.007664,121.5183121,合約診所,"週一至週五上午8:30-12:00、下午15:00-18:00、晚上19:00-21:30
週六早上9:00-12:00
(週一下午、週六晚上休診)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
